Slice,Count,Total Area,Average Size,%Area,Mean,,Coupon
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m07_DAPI.tif,2282,1.966,8.62E-04,12.284,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m08_DAPI.tif,2391,2.107,8.81E-04,13.164,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m09_DAPI.tif,2207,1.9,8.61E-04,11.868,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m10_DAPI.tif,2094,1.527,7.29E-04,9.54,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m11_DAPI.tif,2544,2.142,8.42E-04,13.378,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m12_DAPI.tif,3429,2.901,8.46E-04,18.124,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m13_DAPI.tif,5171,4.743,9.17E-04,29.63,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m14_DAPI.tif,3522,2.835,8.05E-04,17.707,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m15_DAPI.tif,2546,1.965,7.72E-04,12.276,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m16_DAPI.tif,3078,2.154,7.00E-04,13.456,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m01_DAPI.tif,2047,3.185,0.002,19.896,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m02_DAPI.tif,1942,3.445,0.002,21.517,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m03_DAPI.tif,2142,3.267,0.002,20.408,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m04_DAPI.tif,1925,4.043,0.002,25.254,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m05_DAPI.tif,2353,3.3,0.001,20.617,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m06_DAPI.tif,2216,2.914,0.001,18.204,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m07_DAPI.tif,2268,2.882,0.001,18.005,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m08_DAPI.tif,2100,2.727,0.001,17.033,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m09_DAPI.tif,2534,2.694,0.001,16.827,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m10_DAPI.tif,2432,2.488,0.001,15.542,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m11_DAPI.tif,2184,3.115,0.001,19.456,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m12_DAPI.tif,2020,3.793,0.002,23.695,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m13_DAPI.tif,2115,3.139,0.001,19.612,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m14_DAPI.tif,2388,2.368,9.92E-04,14.791,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m15_DAPI.tif,2146,2.525,0.001,15.773,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-01_m16_DAPI.tif,2224,2.615,0.001,16.337,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m01_DAPI.tif,2047,3.185,0.002,19.896,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m02_DAPI.tif,1942,3.445,0.002,21.517,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m03_DAPI.tif,2142,3.267,0.002,20.408,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m04_DAPI.tif,1925,4.043,0.002,25.254,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m05_DAPI.tif,2353,3.3,0.001,20.617,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m06_DAPI.tif,2216,2.914,0.001,18.204,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m07_DAPI.tif,2268,2.882,0.001,18.005,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m08_DAPI.tif,2100,2.727,0.001,17.033,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m09_DAPI.tif,2534,2.694,0.001,16.827,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m10_DAPI.tif,2432,2.488,0.001,15.542,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m11_DAPI.tif,2184,3.115,0.001,19.456,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m12_DAPI.tif,2020,3.793,0.002,23.695,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m13_DAPI.tif,2115,3.139,0.001,19.612,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m14_DAPI.tif,2388,2.368,9.92E-04,14.791,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m15_DAPI.tif,2146,2.525,0.001,15.773,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-02_m16_DAPI.tif,2224,2.615,0.001,16.337,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m01_DAPI.tif,2047,3.185,0.002,19.896,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m02_DAPI.tif,1942,3.445,0.002,21.517,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m03_DAPI.tif,2142,3.267,0.002,20.408,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m04_DAPI.tif,1925,4.043,0.002,25.254,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m05_DAPI.tif,2353,3.3,0.001,20.617,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m06_DAPI.tif,2216,2.914,0.001,18.204,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m07_DAPI.tif,2268,2.882,0.001,18.005,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m08_DAPI.tif,2100,2.727,0.001,17.033,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m09_DAPI.tif,2534,2.694,0.001,16.827,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m10_DAPI.tif,2432,2.488,0.001,15.542,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m11_DAPI.tif,2184,3.115,0.001,19.456,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m12_DAPI.tif,2020,3.793,0.002,23.695,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m13_DAPI.tif,2115,3.139,0.001,19.612,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m14_DAPI.tif,2388,2.368,9.92E-04,14.791,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m15_DAPI.tif,2146,2.525,0.001,15.773,255,,46
FK2021CL_(244)-Profundidad de enfoque extendida-01-Exportar imagen-03_m16_DAPI.tif,2224,2.615,0.001,16.337,255,,46
